-0.00350098167858669+2.01486089736125e-09i,-0.0107694947922685+6.37396929509912e-09i,-0.00116564391876944-4.24240832719332e-07i
-0.00408675958689333+2.41134392779982e-09i,-0.0125730577581227+7.59600178934411e-09i,0.00246768353026046-4.26319288890798e-07i
-0.00438468088265802+2.6584769738867e-09i,-0.0134913281775064+8.35912831588253e-09i,0.00698892227093504-4.29038516080025e-07i
-0.00423569274465492+2.63923461893213e-09i,-0.0130350190878465+8.30328284889371e-09i,0.0121959507307805-4.32329004196319e-07i
-0.00346261712430122+2.21042050473346e-09i,-0.0106589795548495+6.98765844900267e-09i,0.0174776279832518-4.35816682413961e-07i
-0.00198463898477532+1.28898074396687e-09i,-0.00611421483648584+4.15604565631234e-09i,0.0216517245367243-4.38668936862513e-07i
0-0i,-9.76469048831077e-06+1.92115242109515e-10i,0.0232825979345071-4.39813407618366e-07i
0-0i,-9.76473823961177e-06+1.92115285237093e-10i,0.0232825939884125-4.39813406010659e-07i
-3.93662080664164e-19+2.56130506435436e-25i,0.00641730454155386-3.99010599438131e-09i,0.0216709312777358-4.38712508653731e-07i
-6.87290447892071e-19+4.40258247774551e-25i,0.0112132186015357-6.99922115890042e-09i,0.0175019203785217-4.35882863458272e-07i
-8.40885295018374e-19+5.26572213731437e-25i,0.0137239798081867-8.41259456708932e-09i,0.0122112971888519-4.32394940413042e-07i
-8.70214001837883e-19+5.31076997224454e-25i,0.0142059199975427-8.4902601931314e-09i,0.00699029377095155-4.29092016492302e-07i
-8.10553546323061e-19+4.82241764271419e-25i,0.0132343958352174-7.69635748474681e-09i,0.00245740521730649-4.26357829675535e-07i
-6.93682505122462e-19+4.03506612793589e-25i,0.011328102878099-6.41342465642891e-09i,-0.00118230040138193-4.24266490924983e-07i
-5.42015274752574e-19+3.097491131447e-25i,0.00885306708107443-4.88443705906501e-09i,-0.00392010730551783-4.22761920885162e-07i
-3.70012196648017e-19+2.09186002270428e-25i,0.00604550735277986-3.24368042062083e-09i,-0.0058118100421149-4.21759317790646e-07i
-1.86911487565473e-19+1.05910952165851e-25i,0.00305637164728198-1.55811049114381e-09i,-0.00691751856868527-4.2118703661713e-07i
1.01161660065388e-21+1.7885912148603e-27i,-1.17977378169063e-05+1.41745579210467e-10i,-0.00727848605821044-4.21000024877323e-07i
1.8879957440153e-19-1.02274050733269e-25i,-0.00307800335217699+1.84103306018875e-09i,-0.00690950880859044-4.21182845294939e-07i
3.71504988209724e-19-2.05377782050167e-25i,-0.00606144190488856+3.5250605260928e-09i,-0.00579727213433237-4.2174999175453e-07i
5.42886315571253e-19-3.05686150793929e-25i,-0.00886020799122061+5.16386664034975e-09i,-0.00390201142992873-4.22745551928679e-07i
6.93773656428157e-19-3.99168796924611e-25i,-0.011324613886404+6.69170005667716e-09i,-0.00116505124363023-4.2424027294714e-07i
8.09830451377661e-19-4.77732348050761e-25i,-0.0132206484418011+7.9764953644285e-09i,0.00246830815720304-4.26318526703483e-07i
8.68845239440504e-19-5.26705366373753e-25i,-0.0141857601306356+8.77878706293267e-09i,0.00698942787074255-4.29037504379036e-07i
8.39306219527355e-19-5.22903211756377e-25i,-0.0137055622921521+8.72005152634327e-09i,0.0121961765690201-4.3232775121701e-07i
6.86112117248078e-19-4.37954675397339e-25i,-0.0112069772274862+7.3368753470935e-09i,0.0174774976674904-4.35815353474198e-07i
3.93253102522662e-19-2.55398347550888e-25i,-0.00642829540350556+4.35984614810437e-09i,0.0216514190081003-4.3866796967623e-07i
0-0i,-9.76469048831077e-06+1.92115242109515e-10i,0.0232825979345071-4.39813407618366e-07i
0-0i,-9.76473823961177e-06+1.92115285237093e-10i,0.0232825939884125-4.39813406010659e-07i
-0.00198660187623547+1.29249478617606e-09i,0.0061025865675315-3.78516434784127e-09i,0.0216702812986841-4.38711295412791e-07i
-0.0034682723466832+2.22147638355695e-09i,0.0106633837882397-6.64641280148296e-09i,0.0175008537486036-4.3588088600899e-07i
-0.0042432709988629+2.65684344999122e-09i,0.0130509736171747-7.99010398459647e-09i,0.0122103292016816-4.32392901576692e-07i
-0.00439124955942097+2.67945776849456e-09i,0.0135093522550757-8.0637825632438e-09i,0.00698974436015809-4.29090357135442e-07i
-0.00409022946687881+2.43298599364407e-09i,0.0125856761972284-7.30882958008927e-09i,0.00245731385859284-4.26356666182278e-07i
-0.00350054382684505+2.03567951222679e-09i,0.0107731251145267-6.0889271928639e-09i,-0.0011820483654447-4.2426576638269e-07i
-0.00273527305908597+1.56258383674312e-09i,0.00841970124894186-4.63505122789615e-09i,-0.00391966998382478-4.22761529040855e-07i
-0.00186736917131856+1.0551441888798e-09i,0.00574999287170181-3.07485353945661e-09i,-0.0058113360646281-4.21759160034e-07i
